"county","age_group","population","susceptible","exposed","isolated","symptomatic","asymptomatic","hospitalized","deaths","recovered","vaccinated","cumulative_vaccinated"
"Siskiyou","0-17",2755,2324,0,0,0,0,0,0,0,20,431
"Siskiyou","18-49",15164,11034,0,0,2,2,1,0,4,49,4121
"Siskiyou","50-64",8555,4464,0,0,0,0,0,0,0,43,4091
"Siskiyou","65+",11729,4738,0,0,0,0,0,0,0,23,6991
"Solano","0-17",34401,23473,0,0,13,13,2,0,16,429,10884
"Solano","18-49",180659,94078,0,0,54,54,10,0,72,1105,86391
"Solano","50-64",85176,29139,0,0,19,19,3,0,24,399,55972
"Solano","65+",80229,26688,0,0,9,9,2,0,13,174,53508
"Sonoma","0-17",35356,20456,0,0,12,12,4,0,29,641,14843
"Sonoma","18-49",196105,75655,0,0,57,57,18,0,126,1336,120192
"Sonoma","50-64",97670,22169,0,0,20,20,6,0,42,363,75413
"Sonoma","65+",112373,29790,0,0,10,10,3,0,23,138,82537
"Stanislaus","0-17",50009,40308,0,0,7,7,8,0,27,554,9652
"Stanislaus","18-49",240087,148432,0,0,27,27,34,0,115,1242,91452
"Stanislaus","50-64",96795,42103,0,0,9,9,11,0,39,402,54624
"Stanislaus","65+",82223,30675,0,0,4,4,6,0,21,152,51513
"Sutter","0-17",8533,7105,0,0,2,2,0,0,2,160,1422
"Sutter","18-49",42117,26580,0,0,12,12,0,0,17,297,15496
"Sutter","50-64",17276,6993,0,0,4,4,0,0,8,99,10267
"Sutter","65+",15940,4946,0,0,2,2,0,0,1,34,10989
"Tehama","0-17",5226,4796,0,0,0,0,0,0,0,34,430
"Tehama","18-49",24418,19395,0,0,4,4,0,0,8,99,5007
"Tehama","50-64",11565,6823,0,0,0,0,0,0,1,32,4741
"Tehama","65+",13434,6869,0,0,0,0,0,0,0,25,6565
"Trinity","0-17",595,533,0,0,0,0,0,0,0,4,62
"Trinity","18-49",4009,2847,0,0,0,0,0,0,2,23,1160
"Trinity","50-64",2453,1270,0,0,0,0,0,0,0,25,1183
"Trinity","65+",4725,2847,0,0,0,0,0,0,0,11,1878
"Tulare","0-17",49183,42206,0,0,4,4,2,0,6,520,6961
"Tulare","18-49",210270,137826,0,0,17,17,9,0,20,911,72381
"Tulare","50-64",72225,31181,0,0,6,6,3,0,7,322,41022
"Tulare","65+",61371,23601,0,0,3,3,2,0,5,130,37757
