"county","age_group","day1","day2","day3","day4","day5","day6","day7","day8","day9","day10","day11","day12","day13","day14","day15","day16","day17","day18","day19","day20","day21","day22","day23","day24","day25","day26","day27","day28","day29","day30","day31","day32","day33","day34","day35","day36","day37","day38","day39","day40","day41","day42","day43","day44","day45","day46","day47","day48","day49","day50","day51","day52","day53","day54","day55","day56","day57","day58","day59","day60","day61","day62","day63","day64","day65","day66","day67","day68","day69","day70","day71","day72","day73","day74","day75","day76","day77","day78","day79","day80","day81","day82","day83","day84","day85","day86","day87","day88","day89","day90","day91"
"Lassen","50-64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lassen","65+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles","0-17",2805,2805,2805,2805,2805,2805,2805,2139,2139,2139,2139,2139,2139,2139,1596,1596,1596,1596,1596,1596,1596,1175,1175,1175,1175,1175,1175,1175,860,860,860,860,860,860,860,627,627,627,627,627,627,627,459,459,459,459,459,459,459,336,336,336,336,336,336,336,247,247,247,247,247,247,247,183,183,183,183,183,183,183,136,136,136,136,136,136,136,102,102,102,102,102,102,102,77,77,77,77,77,77,77
"Los Angeles","18-49",4328,4328,4328,4328,4328,4328,4328,3429,3429,3429,3429,3429,3429,3429,2726,2726,2726,2726,2726,2726,2726,2176,2176,2176,2176,2176,2176,2176,1744,1744,1744,1744,1744,1744,1744,1404,1404,1404,1404,1404,1404,1404,1136,1136,1136,1136,1136,1136,1136,924,924,924,924,924,924,924,754,754,754,754,754,754,754,619,619,619,619,619,619,619,510,510,510,510,510,510,510,422,422,422,422,422,422,422,351,351,351,351,351,351,351
"Los Angeles","50-64",798,798,798,798,798,798,798,591,591,591,591,591,591,591,441,441,441,441,441,441,441,331,331,331,331,331,331,331,251,251,251,251,251,251,251,192,192,192,192,192,192,192,147,147,147,147,147,147,147,114,114,114,114,114,114,114,89,89,89,89,89,89,89,70,70,70,70,70,70,70,55,55,55,55,55,55,55,44,44,44,44,44,44,44,35,35,35,35,35,35,35
"Los Angeles","65+",575,575,575,575,575,575,575,496,496,496,496,496,496,496,429,429,429,429,429,429,429,373,373,373,373,373,373,373,326,326,326,326,326,326,326,286,286,286,286,286,286,286,251,251,251,251,251,251,251,222,222,222,222,222,222,222,196,196,196,196,196,196,196,174,174,174,174,174,174,174,155,155,155,155,155,155,155,139,139,139,139,139,139,139,124,124,124,124,124,124,124
"Madera","0-17",29,29,29,29,29,29,29,24,24,24,24,24,24,24,20,20,20,20,20,20,20,16,16,16,16,16,16,16,13,13,13,13,13,13,13,10,10,10,10,10,10,10,8,8,8,8,8,8,8,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
"Madera","18-49",27,27,27,27,27,27,27,21,21,21,21,21,21,21,17,17,17,17,17,17,17,13,13,13,13,13,13,13,11,11,11,11,11,11,11,9,9,9,9,9,9,9,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Madera","50-64",9,9,9,9,9,9,9,7,7,7,7,7,7,7,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Madera","65+",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marin","0-17",89,89,89,89,89,89,89,61,61,61,61,61,61,61,41,41,41,41,41,41,41,28,28,28,28,28,28,28,19,19,19,19,19,19,19,13,13,13,13,13,13,13,9,9,9,9,9,9,9,6,6,6,6,6,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"Marin","18-49",62,62,62,62,62,62,62,47,47,47,47,47,47,47,35,35,35,35,35,35,35,27,27,27,27,27,27,27,21,21,21,21,21,21,21,16,16,16,16,16,16,16,12,12,12,12,12,12,12,10,10,10,10,10,10,10,8,8,8,8,8,8,8,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3
